Resource,MA_natural_gas_combined_cycle,CT_natural_gas_combined_cycle,ME_natural_gas_combined_cycle,MA_solar_pv,CT_onshore_wind,CT_solar_pv,ME_onshore_wind,MA_battery,CT_battery,ME_battery
Zone,1,2,3,1,2,2,3,1,2,3
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.186706629249966,-5.120355049270423,-0.27173913043478254
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.35146076317238,-32.94186512637406,-0.27173913043478254
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.35146076317238,-32.94186512637406,-0.27173913043478254
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.35146076317238,-32.94186512637406,-0.27173913043478254
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.35146076317238,-32.94186512637406,-0.27173913043478254
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.35146076317238,-32.94186512637406,-0.27173913043478254
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.35146076317238,-32.94186512637406,-0.27173913043478254
t8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.35146076317238,-32.94186512637406,-0.27173913043478254
t9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.35146076317238,-32.94186512637406,-0.27173913043478254
t10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.35146076317238,-32.94186512637406,-0.27173913043478254
t11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.35146076317238,-32.94186512637406,-0.27173913043478254
t12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.35146076317238,-32.94186512637406,-0.27173913043478254
t13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.35146076317238,-32.94186512637406,-0.27173913043478254
t14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.35146076317238,-32.94186512637406,-0.27173913043478254
t15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.35146076317238,-32.94186512637406,-0.27173913043478254
t16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.35146076317238,-32.94186512637406,-0.27173913043478254
t17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.35146076317238,-32.94186512637406,-0.27173913043478254
t18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.35146076317238,-32.94186512637406,-0.27173913043478254
t19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.35146076317238,-32.94186512637406,-0.27173913043478254
t20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.35146076317238,-32.94186512637406,-0.27173913043478254
t21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.35146076317238,-32.94186512637406,-0.27173913043478254
t22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.35146076317238,-32.94186512637406,-0.27173913043478254
t23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.35146076317238,-32.94186512637406,-0.27173913043478254
t24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.35146076317238,-32.94186512637406,-0.27173913043478254
t25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.35146076317238,-32.94186512637406,-0.27173913043478254
t26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.35146076317238,-32.94186512637406,-0.27173913043478254
t27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.35146076317238,-32.94186512637406,-0.27173913043478254
t28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.35146076317238,-32.94186512637406,-0.27173913043478254
t29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.35146076317238,-32.94186512637406,-0.27173913043478254
t30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.35146076317238,-32.94186512637406,-0.27173913043478254
t31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.35146076317238,-32.94186512637406,-0.27173913043478254
t32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.35146076317238,-32.94186512637406,-0.27173913043478254
t33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.35146076317238,-32.94186512637406,-0.27173913043478254
t34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.35146076317238,-32.94186512637406,-0.27173913043478254
t35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.35146076317238,-32.94186512637406,-0.27173913043478254
t36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.35146076317238,-32.94186512637406,-0.27173913043478254
t37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.35146076317238,-32.94186512637406,-0.27173913043478254
t38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.35146076317238,-32.94186512637406,-0.27173913043478254
t39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.35146076317238,-32.94186512637406,-0.27173913043478254
t40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.35146076317238,-32.94186512637406,-0.27173913043478254
t41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.35146076317238,-32.94186512637406,-0.27173913043478254
t42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.35146076317238,-32.94186512637406,-0.27173913043478254
t43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.35146076317238,-32.94186512637406,-0.27173913043478254
t44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.35146076317238,-32.94186512637406,-0.27173913043478254
t45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.35146076317238,-32.94186512637406,-0.27173913043478254
t46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.35146076317238,-32.94186512637406,-0.27173913043478254
t47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.35146076317238,-32.94186512637406,-0.27173913043478254
t48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.35146076317238,-32.94186512637406,-0.27173913043478254
t49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.35146076317238,-32.94186512637406,-0.27173913043478254
t50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.35146076317238,-32.94186512637406,-0.27173913043478254
t51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.35146076317238,-32.94186512637406,-0.27173913043478254
t52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.35146076317238,-32.94186512637406,-0.27173913043478254
t53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.35146076317238,-32.94186512637406,-0.27173913043478254
t54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.35146076317238,-32.94186512637406,-0.27173913043478254
t55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.35146076317238,-32.94186512637406,-0.27173913043478254
t56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.35146076317238,-32.94186512637406,-0.27173913043478254
t57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.35146076317238,-32.94186512637406,-0.27173913043478254
t58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.35146076317238,-32.94186512637406,-0.27173913043478254
t59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.35146076317238,-32.94186512637406,-0.27173913043478254
t60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.35146076317238,-32.94186512637406,-0.27173913043478254
t61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.35146076317238,-32.94186512637406,-0.27173913043478254
t62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.35146076317238,-32.94186512637406,-0.27173913043478254
