Resource,MA_natural_gas_combined_cycle,CT_natural_gas_combined_cycle,ME_natural_gas_combined_cycle,MA_solar_pv,CT_onshore_wind,CT_solar_pv,ME_onshore_wind,MA_battery,CT_battery,ME_battery,Total
Zone,1,2,3,1,2,2,3,1,2,3,0
AnnualSum,1.0593328234946439e7,3.503176890710012e6,915543.0648565305,1.8358780848521862e7,2.9395125017045565e7,2.0545686378694553e7,3.751353948501789e7,6.313186995222786e6,6.203883498735269e6,7.023633698869093e6,1.4036588411262e8
t1,-0.0,-0.0,-0.0,-0.0,7323.711739515172,-0.0,6306.862288543009,154.5140657319416,0.0,0.0,13785.088093790122
t2,-0.0,-0.0,-0.0,-0.0,7174.008395735631,-0.0,5207.286928752803,0.0,0.0,0.0,12381.295324488434
t3,-0.0,-0.0,-0.0,-0.0,7550.0976367023,-0.0,9343.978194432342,0.0,0.0,0.0,16894.075831134644
t4,-0.0,-0.0,-0.0,-0.0,6619.9390186354385,-0.0,7197.966176204547,0.0,223.62302612188256,0.0,14041.528220961869
t5,-0.0,-0.0,-0.0,-0.0,5581.416942857406,-0.0,5187.079675556388,1317.2516642763678,0.0,0.0,12085.748282690161
t6,-0.0,-0.0,-0.0,-0.0,6037.102250516493,-0.0,5217.39055535101,1161.3765620761176,0.0,0.0,12415.86936794362
t7,-0.0,-0.0,-0.0,-0.0,6695.330013106676,-0.0,5273.9708643009735,1032.1609047935121,0.0,0.0,13001.461782201162
t8,-0.0,-0.0,-0.0,-0.0,5873.740420422508,-0.0,5334.592623890219,2413.0396231685036,0.0,0.0,13621.372667481231
t9,-0.0,-0.0,-0.0,2619.1111448011425,8003.053643540275,2974.146189770402,5414.411274016059,0.0,0.0,0.0,19010.722252127878
t10,-0.0,-0.0,-0.0,4914.295439969408,2254.0447701089543,5832.382342029824,3163.748942308587,0.0,0.0,2300.17010203869,18464.64159645546
t11,-0.0,-0.0,-0.0,6759.113037135086,145.29387971107874,7294.42940608879,1566.0335948553218,0.0,0.0,3917.0823400285494,19681.952257818826
t12,-0.0,-0.0,-0.0,6408.694028796175,387.8423880933112,8030.721576186954,903.4643184886622,0.0,0.0,4578.641253735388,20309.36356530049
t13,-0.0,-0.0,-0.0,6838.589513253189,926.6663192995211,7980.669514534485,648.9347429083836,0.0,0.0,4825.087928037101,21219.94801803268
t14,-0.0,-0.0,-0.0,6318.379851389239,405.14517925306046,6768.882758737865,444.7827631283979,0.0,0.0,5018.125918559059,18955.31647106762
t15,-0.0,-0.0,-0.0,5092.515416719096,68.36648610247366,5574.219076664456,806.477316065086,0.0,0.0,4652.389914983087,16193.968210534198
t16,-0.0,-0.0,-0.0,3749.8446459359807,1946.4420165068386,4781.289047327972,1965.0242486361021,0.0,0.0,3496.8740703915337,15939.474028798428
t17,-0.0,-0.0,-0.0,1312.5660449808026,2912.033907569086,2378.790088009454,4961.92074711488,2895.8437335655512,612.7989794885862,566.6615074609256,15640.615008189285
t18,-0.0,-0.0,-0.0,-0.0,5249.236371974446,-0.0,5626.58743257842,2895.8437335655512,2926.8309386588267,0.0,16698.498476777244
t19,-0.0,-0.0,-0.0,-0.0,8785.256360617925,-0.0,5627.59779523824,2299.1451000681946,0.0,0.0,16711.99925592436
t20,-0.0,-0.0,-0.0,-0.0,3986.5107063955766,-0.0,11064.43508245742,1973.920758274513,4851.535652756335,0.0,21876.402199883843
t21,-0.0,-0.0,-0.0,-0.0,6765.051485464315,-0.0,5541.7169691534755,2895.8437335655512,595.9153504073396,0.0,15798.527538590683
t22,-0.0,-0.0,-0.0,-0.0,5903.833413288839,-0.0,5446.742879130324,2895.8437335655512,561.4471909798575,0.0,14807.86721696457
t23,-0.0,-0.0,-0.0,-0.0,7680.79070215915,-0.0,5341.665162508964,704.6718286658455,0.0,0.0,13727.12769333396
t24,-0.0,-0.0,-0.0,-0.0,6927.102405914516,-0.0,5235.577083227784,444.5052064527622,0.0,0.0,12607.184695595062
t25,-0.0,-0.0,-0.0,-0.0,7556.496696163854,-0.0,5158.789521081406,0.0,0.0,0.0,12715.286217245259
t26,-0.0,-0.0,-0.0,-0.0,10193.13755058938,-0.0,5119.385377348396,0.0,0.0,0.0,15312.522927937775
t27,-0.0,-0.0,-0.0,-0.0,9404.95629359045,-0.0,10703.555229325713,0.0,0.0,0.0,20108.511522916164
t28,-0.0,-0.0,-0.0,-0.0,9928.330622220243,-0.0,5105.240300110905,0.0,0.0,0.0,15033.570922331148
t29,-0.0,-0.0,-0.0,-0.0,10582.962703096884,-0.0,5137.57190522517,0.0,0.0,0.0,15720.534608322054
t30,-0.0,-0.0,-0.0,-0.0,9671.648829696867,-0.0,5237.597808547425,0.0,0.0,0.0,14909.246638244293
t31,-0.0,-0.0,-0.0,-0.0,7237.7459865704595,-0.0,5421.483812634805,1887.9755654494863,0.0,0.0,14547.20536465475
t32,-0.0,-0.0,-0.0,-0.0,2862.993380600987,-0.0,5523.530441276702,2895.8437335655512,4334.756179258201,0.0,15617.12373470144
t33,-0.0,-0.0,-0.0,1312.5660449808026,3639.276953678792,1745.2363602505682,11146.094074327208,2895.8437335655512,696.5979723064743,0.0,21435.615139109395
t34,-0.0,-0.0,-0.0,3895.5515188191707,7953.00858193112,4009.4335702662106,5558.893134370429,0.0,0.0,0.0,21416.88680538693
t35,-0.0,-0.0,-0.0,4290.525521345503,4914.409927799536,3980.4560608884663,5571.017486288278,0.0,0.0,0.0,18756.408996321785
t36,-0.0,-0.0,-0.0,4556.651297437941,3497.1026924437124,5322.641608884941,5568.9967609686355,0.0,0.0,0.0,18945.39235973523
t37,-0.0,-0.0,-0.0,4029.216501381436,6374.221787117425,3443.054977883008,5553.841321071324,0.0,0.0,0.0,19400.334587453195
t38,-0.0,-0.0,-0.0,3141.7291847292786,8578.190453857382,3626.140150769671,5543.737694473118,0.0,0.0,0.0,20889.797483829447
t39,-0.0,-0.0,-0.0,2867.174085412193,7970.177306731255,2547.3865062072446,11094.543597201246,0.0,0.0,0.0,24479.281495551942
t40,-0.0,-0.0,-0.0,1573.8750649448705,7381.068300193405,2852.9675141907396,5528.582254575806,0.0,0.0,0.0,17336.49313390482
t41,-0.0,-0.0,-0.0,320.3142825365995,5405.590737551935,239.72303212498372,5595.266190123975,2895.8437335655512,1909.615844482542,0.0,16366.353820385586
t42,-0.0,-0.0,-0.0,-0.0,8354.883614809258,-0.0,5695.292093446233,2319.2557372280976,1049.6463736320152,0.0,17419.077819115602
t43,-0.0,-0.0,-0.0,-0.0,9156.922262790142,-0.0,5681.147016208741,2434.848509522657,0.0,0.0,17272.91778852154
t44,-0.0,-0.0,-0.0,-0.0,9873.306213729335,-0.0,5629.618520557882,1836.298527484413,0.0,0.0,17339.22326177163
t45,-0.0,-0.0,-0.0,-0.0,10339.303298372657,-0.0,5553.841321071324,1286.6568494497612,0.0,0.0,17179.801468893744
t46,-0.0,-0.0,-0.0,-0.0,9867.122744441123,-0.0,11043.03708302549,478.36026410468367,0.0,0.0,21388.5200915713
t47,-0.0,-0.0,-0.0,-0.0,9375.419308811419,-0.0,5305.292106755416,0.0,0.0,0.0,14680.711415566835
t48,-0.0,-0.0,-0.0,-0.0,10473.873045138924,-0.0,5181.017499597463,0.0,0.0,0.0,15654.890544736387
t49,-0.0,-0.0,-0.0,-0.0,10714.429371314744,-0.0,5100.188486811801,0.0,0.0,0.0,15814.617858126545
t50,-0.0,-0.0,-0.0,-0.0,10759.182719934975,-0.0,5049.670353820764,0.0,0.0,0.0,15808.85307375574
t51,-0.0,-0.0,-0.0,-0.0,10796.055224192489,-0.0,5025.421649985065,0.0,0.0,0.0,15821.476874177555
