Resource,MA_natural_gas_combined_cycle,CT_natural_gas_combined_cycle,ME_natural_gas_combined_cycle,MA_solar_pv,CT_onshore_wind,CT_solar_pv,ME_onshore_wind,MA_battery,CT_battery,ME_battery,Total
Zone,1,2,3,1,2,2,3,1,2,3,0
AnnualSum,1.1043580799397942e7,5.470803226589132e6,290374.71110591874,1.8358780848521862e7,2.8153137746394854e7,2.062224074591291e7,3.7862628132172324e7,5.934994229803894e6,7.958415765273168e6,6.580259155973387e6,1.4227521536114538e8
t1,-0.0,-0.0,-0.0,-0.0,7323.711739515172,-0.0,8850.91197393059,277.5462472660264,0.0,0.0,16452.169960711788
t2,-0.0,-0.0,-0.0,-0.0,7174.00839573563,-0.0,5207.286928752803,0.0,0.0,0.0,12381.295324488434
t3,-0.0,0.0,-0.0,-0.0,7550.0976367022995,-0.0,5187.079675556388,0.0,0.0,0.0,12737.177312258687
t4,-0.0,-0.0,-0.0,-0.0,6619.9390186354385,-0.0,7197.966176204547,0.0,439.76044109337727,0.0,14257.665635933365
t5,-0.0,-0.0,-0.0,-0.0,5581.416942857406,-0.0,7575.186145935218,0.0,1493.440855023906,0.0,14650.04394381653
t6,-0.0,-0.0,-0.0,-0.0,6037.102250516493,-0.0,9308.681366061785,71.43061800303167,1103.4416793589717,0.0,16520.65591394028
t7,-0.0,-0.0,-0.0,-0.0,6695.330013106676,-0.0,9170.071644849753,477.59965213893247,561.4278426045971,0.0,16904.42915269996
t8,-0.0,-0.0,-0.0,-0.0,5873.740420422507,-0.0,7537.05117317685,922.1627740787253,1509.3369198929067,0.0,15842.291287570988
t9,-0.0,-0.0,-0.0,2619.1111448011425,8003.053643540274,2974.1461897704025,7412.575555752205,0.0,0.0,0.0,21008.886533864024
t10,-0.0,-0.0,-0.0,4914.295439969408,2254.0447701089543,5832.382342029824,3163.7489423085867,0.0,0.0,2300.1701020386904,18464.64159645546
t11,-0.0,-0.0,-0.0,6759.113037135086,145.29387971107874,7294.42940608879,1566.0335948553216,0.0,0.0,3917.08234002855,19681.952257818826
t12,-0.0,-0.0,-0.0,6408.694028796175,387.8423880933112,8030.721576186955,903.4643184886622,0.0,0.0,4578.641253735388,20309.36356530049
t13,-0.0,-0.0,-0.0,6838.58951325319,926.666319299521,7980.669514534485,648.9347429083836,0.0,0.0,4825.087928037101,21219.94801803268
t14,-0.0,-0.0,-0.0,6318.37985138924,405.14517925306046,6768.882758737865,444.7827631283979,0.0,0.0,5018.125918559058,18955.31647106762
t15,5.520583989948591e-14,-0.0,0.0,5092.515416719095,68.36648610247366,5574.219076664457,806.477316065086,0.0,1642.7453772509384,4652.389914983087,17836.713587785136
t16,-0.0,-0.0,-0.0,3749.8446459359807,1946.4420165068384,4781.289047327971,1965.0242486361021,0.0,923.1435838413813,3496.874070391533,16862.617612639806
t17,60.91311563808287,-0.0,-0.0,1312.5660449808024,2912.0339075690854,2378.790088009454,4961.92074711488,972.2959743988567,2498.496807223789,566.6615074609253,15663.678192395877
t18,176.38795753107752,-0.0,-0.0,-0.0,5249.236371974446,-0.0,8838.616548012924,2895.8437335655512,2748.258941455505,0.0,19908.343552539503
t19,180.42944045780393,-0.0,-0.0,-0.0,8785.256360617925,-0.0,5627.597795238241,2895.8437335655512,0.0,0.0,17489.12732987952
t20,84.44097813425206,-0.0,-0.0,-0.0,3986.5107063955766,-0.0,5599.307640763259,2778.643971504338,3951.3618103012204,0.0,16400.265107098647
t21,84.44097813425206,-0.0,-0.0,-0.0,6765.051485464315,-0.0,5541.7169691534755,2359.34011785658,1053.5754377661733,0.0,15804.124988374795
t22,84.44097813425206,-0.0,-0.0,-0.0,5903.833413288839,-0.0,11037.78705013492,1669.256908118221,1717.7351139591906,0.0,20413.053463635428
t23,23.527862496169295,-0.0,-0.0,-0.0,7680.79070215915,-0.0,5341.665162508964,958.2467847517546,0.0,0.0,14004.230511916037
t24,-0.0,-0.0,-0.0,-0.0,6927.102405914516,-0.0,10834.90237510241,198.7373301948801,248.8109796501085,0.0,18209.553090861915
t25,-0.0,-0.0,-0.0,-0.0,7556.496696163854,-0.0,5158.789521081407,0.0,0.0,0.0,12715.28621724526
t26,-0.0,0.0,-0.0,-0.0,10193.137550589377,-0.0,5119.385377348396,0.0,0.0,0.0,15312.522927937775
t27,-0.0,-0.0,-0.0,-0.0,9404.956293590449,-0.0,5104.229937451085,0.0,0.0,0.0,14509.186231041534
t28,-0.0,-0.0,-0.0,-0.0,9928.330622220243,-0.0,5105.240300110906,0.0,0.0,0.0,15033.57092233115
t29,-0.0,-0.0,-0.0,-0.0,10582.962703096882,-0.0,5137.571905225171,0.0,0.0,0.0,15720.534608322054
t30,-0.0,-0.0,-0.0,-0.0,9671.648829696866,-0.0,5237.597808547426,219.95511556018846,0.0,0.0,15129.201753804478
t31,-0.0,-0.0,-0.0,-0.0,7237.7459865704595,-0.0,11020.809104509433,1563.7481886963787,328.2419674517487,0.0,20150.54524722802
t32,-0.0,-0.0,-0.0,-0.0,2862.993380600987,-0.0,5523.530441276702,2318.495125262344,4919.253531063509,0.0,15624.272478203544
t33,-0.0,0.0,-0.0,1312.5660449808024,3639.2769536787914,1745.2363602505684,5546.768782452579,1168.598768082239,2445.2297239462932,0.0,15857.676633391275
t34,-0.0,-0.0,-0.0,3895.5515188191707,7953.008581931119,4009.433570266211,5558.893134370429,0.0,0.0,0.0,21416.88680538693
t35,-0.0,-0.0,-0.0,4290.525521345504,4914.409927799536,3980.4560608884663,5571.017486288278,0.0,0.0,0.0,18756.408996321785
t36,-0.0,-0.0,-0.0,4556.651297437942,3497.1026924437124,5322.641608884941,5568.996760968636,0.0,0.0,0.0,18945.392359735233
