Resource,Zone,Retrofit_Id,StartCap,RetCap,RetroCap,NewCap,EndCap,CapacityConstraintDual,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
MA_natural_gas_combined_cycle,1,None,4732.443096374386,0.0,0.0,0.0,4732.443096374386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT_natural_gas_combined_cycle,2,None,1138.6255246114902,0.0,0.0,0.0,1138.6255246114902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ME_natural_gas_combined_cycle,3,None,343.1260414816667,0.0,0.0,0.0,343.1260414816667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MA_solar_pv,1,None,12041.890320924793,0.0,0.0,0.0,12041.890320924793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT_onshore_wind,2,None,11198.326061905283,0.0,0.0,0.0,11198.326061905283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT_solar_pv,2,None,13171.595171702402,0.0,0.0,0.0,13171.595171702402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ME_onshore_wind,3,None,13577.494404283363,0.0,0.0,0.0,13577.494404283363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MA_battery,1,None,2895.8437335655512,0.0,0.0,0.0,2895.8437335655512,0.0,289584.37335655506,0.0,0.0,289584.37335655506,0.0,0.0,0.0,0.0
CT_battery,2,None,6497.372320405344,0.0,0.0,0.0,6497.372320405344,0.0,649737.2320405344,0.0,0.0,649737.2320405344,0.0,0.0,0.0,0.0
ME_battery,3,None,5599.325291874628,0.0,0.0,0.0,5599.325291874628,0.0,559932.529187463,0.0,0.0,559932.529187463,0.0,0.0,0.0,0.0
Total,n/a,n/a,71196.04196712891,0.0,0.0,0.0,71196.04196712891,n/a,1.4992541345845524e6,0.0,0.0,1.4992541345845524e6,0.0,0.0,0.0,0.0
